Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-23 14:06:00+05:30,263.05,263.2,263.0,263.0,30711,0,0
2020-12-23 14:07:00+05:30,263.0,263.15,262.95,263.05,23024,0,0
2020-12-23 14:08:00+05:30,263.1,263.1,262.8,262.9,56330,0,0
2020-12-23 14:09:00+05:30,263.0,263.0,262.8,262.95,20629,0,0
2020-12-23 14:10:00+05:30,262.95,263.0,262.8,262.95,54772,0,0
2020-12-23 14:11:00+05:30,262.9,262.95,262.55,262.65,60751,0,0
2020-12-23 14:12:00+05:30,262.7,262.9,262.65,262.7,36334,0,0
2020-12-23 14:13:00+05:30,262.75,262.95,262.7,262.95,20019,0,0
2020-12-23 14:14:00+05:30,262.95,263.0,262.85,262.9,15006,0,0
2020-12-23 14:15:00+05:30,262.95,263.3,262.9,263.2,71341,0,0
2020-12-23 14:16:00+05:30,263.3,263.3,263.15,263.25,49962,0,0
2020-12-23 14:17:00+05:30,263.3,263.35,263.0,263.05,38774,0,0
2020-12-23 14:18:00+05:30,263.05,263.25,263.0,263.2,32304,0,0
2020-12-23 14:19:00+05:30,263.2,263.25,262.85,263.0,27941,0,0
2020-12-23 14:20:00+05:30,262.95,263.0,262.85,262.9,14246,0,0
2020-12-23 14:21:00+05:30,263.0,263.0,262.7,263.0,47674,0,0
2020-12-23 14:22:00+05:30,263.05,263.1,262.9,262.95,9300,0,0
2020-12-23 14:23:00+05:30,263.0,263.25,262.9,262.9,64027,0,0
2020-12-23 14:24:00+05:30,263.0,263.0,262.7,262.75,34022,0,0
2020-12-23 14:25:00+05:30,262.8,263.1,262.8,263.1,41373,0,0
2020-12-23 14:26:00+05:30,263.1,263.15,262.95,263.0,34192,0,0
2020-12-23 14:27:00+05:30,263.1,263.15,262.95,263.05,33826,0,0
2020-12-23 14:28:00+05:30,262.95,263.05,262.8,262.9,39699,0,0
2020-12-23 14:29:00+05:30,262.9,263.0,262.55,262.55,75336,0,0
2020-12-23 14:30:00+05:30,262.55,262.75,262.55,262.7,44698,0,0
2020-12-23 14:31:00+05:30,262.75,262.9,262.65,262.75,26171,0,0
2020-12-23 14:32:00+05:30,262.75,262.8,262.65,262.8,26479,0,0
2020-12-23 14:33:00+05:30,262.8,262.85,262.65,262.7,21502,0,0
2020-12-23 14:34:00+05:30,262.65,262.75,262.2,262.35,195363,0,0
2020-12-23 14:35:00+05:30,262.4,262.55,262.2,262.35,59240,0,0
2020-12-23 14:36:00+05:30,262.45,262.5,262.25,262.35,73664,0,0
2020-12-23 14:37:00+05:30,262.35,262.5,262.35,262.5,32178,0,0
2020-12-23 14:38:00+05:30,262.45,262.75,262.45,262.7,61220,0,0
2020-12-23 14:39:00+05:30,262.75,262.85,262.7,262.8,43107,0,0
2020-12-23 14:40:00+05:30,262.85,262.85,262.55,262.6,33594,0,0
2020-12-23 14:41:00+05:30,262.6,263.15,262.55,262.8,133374,0,0
2020-12-23 14:42:00+05:30,262.85,262.85,262.45,262.7,48779,0,0
2020-12-23 14:43:00+05:30,262.6,262.65,262.4,262.4,61732,0,0
2020-12-23 14:44:00+05:30,262.4,262.65,262.4,262.5,35363,0,0
2020-12-23 14:45:00+05:30,262.5,262.75,262.5,262.5,50765,0,0
2020-12-23 14:46:00+05:30,262.5,262.55,262.35,262.45,52423,0,0
2020-12-23 14:47:00+05:30,262.5,262.65,262.25,262.25,92214,0,0
2020-12-23 14:48:00+05:30,262.3,262.4,262.2,262.4,34130,0,0
2020-12-23 14:49:00+05:30,262.3,262.5,262.3,262.4,44215,0,0
2020-12-23 14:50:00+05:30,262.45,262.5,262.35,262.4,29340,0,0
2020-12-23 14:51:00+05:30,262.4,262.45,262.3,262.35,24372,0,0
2020-12-23 14:52:00+05:30,262.3,262.4,262.2,262.3,50423,0,0
2020-12-23 14:53:00+05:30,262.3,262.45,262.2,262.4,44852,0,0
2020-12-23 14:54:00+05:30,262.4,262.45,262.25,262.3,41141,0,0
2020-12-23 14:55:00+05:30,262.45,262.45,262.3,262.3,28288,0,0
2020-12-23 14:56:00+05:30,262.3,262.4,262.2,262.2,44690,0,0
2020-12-23 14:57:00+05:30,262.25,262.45,262.2,262.35,63923,0,0
2020-12-23 14:58:00+05:30,262.35,262.4,262.3,262.35,27592,0,0
2020-12-23 14:59:00+05:30,262.4,262.4,262.25,262.35,55778,0,0
2020-12-23 15:00:00+05:30,262.35,262.7,262.3,262.65,122472,0,0
2020-12-23 15:01:00+05:30,262.65,262.65,262.45,262.6,75277,0,0
2020-12-23 15:02:00+05:30,262.6,262.65,262.55,262.65,19487,0,0
2020-12-23 15:03:00+05:30,262.75,262.75,262.65,262.75,64724,0,0
2020-12-23 15:05:00+05:30,263.0,263.1,262.75,262.8,289571,0,0
2020-12-23 15:06:00+05:30,262.95,263.05,262.9,262.9,61054,0,0
2020-12-23 15:07:00+05:30,263.0,263.1,262.85,262.95,70467,0,0
2020-12-23 15:08:00+05:30,262.9,263.0,262.85,262.95,56880,0,0
2020-12-23 15:09:00+05:30,262.95,263.0,262.7,262.7,104782,0,0
2020-12-23 15:10:00+05:30,262.75,263.0,262.7,262.8,228464,0,0
2020-12-23 15:11:00+05:30,262.9,263.15,262.8,263.1,95686,0,0
2020-12-23 15:12:00+05:30,263.0,263.2,262.95,263.0,153522,0,0
2020-12-23 15:13:00+05:30,263.15,263.25,263.0,263.2,89670,0,0
2020-12-23 15:14:00+05:30,263.2,263.2,262.9,263.1,135630,0,0
2020-12-23 15:15:00+05:30,263.1,263.1,262.75,262.8,160961,0,0
2020-12-23 15:16:00+05:30,262.95,263.05,262.75,262.9,132956,0,0
2020-12-23 15:17:00+05:30,262.8,263.0,262.75,263.0,164318,0,0
2020-12-23 15:18:00+05:30,262.85,263.0,262.85,262.9,71793,0,0
2020-12-23 15:19:00+05:30,262.95,263.0,262.85,262.9,58845,0,0
2020-12-23 15:20:00+05:30,262.9,263.35,262.9,263.25,211075,0,0
2020-12-23 15:21:00+05:30,263.3,263.8,263.0,263.0,294089,0,0
2020-12-23 15:22:00+05:30,263.05,263.4,263.05,263.2,48957,0,0
2020-12-23 15:23:00+05:30,263.2,263.4,263.2,263.25,39666,0,0
2020-12-23 15:24:00+05:30,263.3,263.35,263.25,263.25,46601,0,0
2020-12-23 15:25:00+05:30,263.35,263.5,263.3,263.4,70221,0,0
