Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,,
2020-08-19 15:12:00+05:30,196.7,196.95,196.65,196.95,194730,0,0,,
2020-08-19 15:13:00+05:30,196.95,197,196.85,196.95,196797,0,0,,
2020-08-19 15:14:00+05:30,196.9,197.1,196.9,197.1,207405,0,0,,
2020-08-19 15:15:00+05:30,197.1,197.15,196.9,197.1,426205,0,0,,
2020-08-19 15:16:00+05:30,197.1,197.15,196.7,197.15,438823,0,0,,
2020-08-19 15:17:00+05:30,197,197.15,197,197.05,189027,0,0,,
2020-08-19 15:18:00+05:30,197,197.2,196.85,197.2,283326,0,0,,
2020-08-19 15:19:00+05:30,197.15,197.3,197.05,197.05,160105,0,0,,
2020-08-19 15:20:00+05:30,197.05,197.3,197.05,197.25,199219,0,0,,
2020-08-19 15:21:00+05:30,197.25,197.25,196.95,197.05,535417,0,0,,
2020-08-19 15:22:00+05:30,197.1,197.4,197.1,197.4,223773,0,0,,
2020-08-19 15:23:00+05:30,197.3,197.4,197.2,197.3,161642,0,0,,
2020-08-19 15:24:00+05:30,197.3,197.4,197.25,197.35,151898,0,0,,
2020-08-19 15:25:00+05:30,197.3,197.35,197.25,197.3,124569,0,0,,
2020-08-19 15:26:00+05:30,197.25,197.35,197.25,197.3,119373,0,0,,
2020-08-19 15:27:00+05:30,197.25,197.3,197.2,197.25,133105,0,0,,
2020-08-19 15:28:00+05:30,197.25,197.3,197.1,197.15,176377,0,0,,
2020-08-19 15:29:00+05:30,197.2,197.2,197.1,197.2,163731,0,0,,
2020-08-20 09:15:00+05:30,194,195.1,193.8,194.85,0,0,0,,
2020-08-20 09:16:00+05:30,195,195.15,194.7,194.9,443245,0,0,,
2020-08-20 09:17:00+05:30,195,195.25,194.8,195.1,382393,0,0,,
2020-08-20 09:18:00+05:30,195.05,195.3,195,195.3,228808,0,0,,
2020-08-20 09:19:00+05:30,195.2,195.4,195,195,264709,0,0,,
2020-08-20 09:20:00+05:30,195,195.05,194.65,194.9,303841,0,0,,
2020-08-20 09:21:00+05:30,194.9,194.9,194.1,194.2,465160,0,0,,
2020-08-20 09:22:00+05:30,194.1,194.4,194.05,194.3,365766,0,0,,
2020-08-20 09:23:00+05:30,194.3,194.5,194.2,194.4,208263,0,0,,
2020-08-20 09:24:00+05:30,194.4,194.55,194.4,194.5,118613,0,0,,
2020-08-20 09:25:00+05:30,194.55,194.6,194.25,194.5,197250,0,0,,
2020-08-20 09:26:00+05:30,194.4,194.95,194.4,194.9,225885,0,0,,
2020-08-20 09:27:00+05:30,194.9,194.95,194.7,194.8,231637,0,0,,
2020-08-20 09:28:00+05:30,194.8,194.9,194.7,194.85,105887,0,0,,
2020-08-20 09:29:00+05:30,194.85,195.15,194.8,195.1,205127,0,0,,
2020-08-20 09:30:00+05:30,195.05,195.15,194.9,195,151196,0,0,,
2020-08-20 09:31:00+05:30,194.95,195.4,194.95,195.4,135940,0,0,,
2020-08-20 09:32:00+05:30,195.5,195.5,194.85,195,318370,0,0,,
2020-08-20 09:33:00+05:30,194.95,195.1,194.9,195,108952,0,0,,
2020-08-20 09:34:00+05:30,195,195.15,195,195.15,77813,0,0,,
2020-08-20 09:35:00+05:30,195.1,195.25,195.1,195.15,85468,0,0,,
2020-08-20 09:36:00+05:30,195.2,195.3,195.15,195.25,134507,0,0,,
2020-08-20 09:37:00+05:30,195.25,195.35,195.15,195.25,168793,0,0,,
2020-08-20 09:38:00+05:30,195.25,195.35,195.2,195.3,84027,0,0,,
2020-08-20 09:39:00+05:30,195.3,195.65,195.25,195.55,229742,0,0,,
2020-08-20 09:40:00+05:30,195.6,195.6,195.4,195.5,148653,0,0,,
2020-08-20 09:41:00+05:30,195.45,195.6,195.05,195.15,174475,0,0,,
2020-08-20 09:42:00+05:30,195.2,195.3,195,195.25,164691,0,0,,
2020-08-20 09:43:00+05:30,195.15,195.25,195.15,195.2,43563,0,0,,
2020-08-20 09:44:00+05:30,195.2,195.35,195.15,195.35,88833,0,0,,
2020-08-20 09:45:00+05:30,195.35,195.4,195.25,195.25,81106,0,0,,
2020-08-20 09:46:00+05:30,195.25,195.3,195,195.15,175083,0,0,,
2020-08-20 09:47:00+05:30,195.1,195.3,195,195.3,100031,0,0,,
2020-08-20 09:48:00+05:30,195.2,195.3,195.15,195.25,34250,0,0,,
2020-08-20 09:49:00+05:30,195.25,195.35,195.2,195.3,81332,0,0,,
2020-08-20 09:50:00+05:30,195.25,195.35,195.2,195.3,56892,0,0,,
2020-08-20 09:51:00+05:30,195.25,195.35,195.2,195.3,43659,0,0,,
2020-08-20 09:52:00+05:30,195.3,195.35,195.15,195.15,71132,0,0,,
2020-08-20 09:53:00+05:30,195.2,195.2,195.05,195.2,90571,0,0,,
2020-08-20 09:54:00+05:30,195.2,195.3,195.2,195.25,33113,0,0,,
2020-08-20 09:55:00+05:30,195.25,195.25,195.15,195.2,47288,0,0,,
2020-08-20 09:56:00+05:30,195.2,195.6,195.2,195.5,147014,0,0,,
2020-08-20 09:57:00+05:30,195.55,195.7,195.4,195.45,199329,0,0,,
2020-08-20 09:58:00+05:30,195.45,195.5,195.35,195.45,55516,0,0,,
2020-08-20 09:59:00+05:30,195.45,195.5,195.3,195.5,43379,0,0,,
2020-08-20 10:00:00+05:30,195.5,195.5,195.25,195.35,88655,0,0,,
2020-08-20 10:01:00+05:30,195.35,195.4,195.2,195.2,47843,0,0,,
2020-08-20 10:02:00+05:30,195.25,195.35,195.15,195.25,43393,0,0,,
2020-08-20 10:03:00+05:30,195.3,195.3,195.2,195.3,25373,0,0,,
2020-08-20 10:04:00+05:30,195.3,195.4,195.25,195.35,36569,0,0,,
2020-08-20 10:05:00+05:30,195.4,195.4,195.25,195.35,27921,0,0,,
2020-08-20 10:06:00+05:30,195.3,195.4,195.3,195.3,97792,0,0,,
2020-08-20 10:07:00+05:30,195.35,195.35,195.2,195.3,52139,0,0,,
2020-08-20 10:08:00+05:30,195.3,195.45,195.25,195.4,50977,0,0,,
2020-08-20 10:09:00+05:30,195.5,195.6,195.4,195.6,65295,0,0,,
2020-08-20 10:10:00+05:30,195.6,195.65,195.5,195.6,78046,0,0,,
2020-08-20 10:11:00+05:30,195.55,195.6,195.35,195.4,68643,0,0,,
2020-08-20 10:12:00+05:30,195.35,195.5,195.3,195.45,60807,0,0,,
2020-08-20 10:13:00+05:30,195.4,195.6,195.4,195.45,41306,0,0,,
2020-08-20 10:14:00+05:30,195.5,195.5,195.3,195.35,78499,0,0,,
2020-08-20 10:15:00+05:30,195.45,195.45,195.1,195.3,162018,0,0,,
2020-08-20 10:16:00+05:30,195.2,195.35,195.2,195.35,29529,0,0,,
2020-08-20 10:17:00+05:30,195.35,195.4,195.25,195.3,38154,0,0,,
2020-08-20 10:18:00+05:30,195.25,195.3,195.2,195.2,48982,0,0,,
2020-08-20 10:19:00+05:30,195.2,195.35,195.2,195.25,62619,0,0,,
2020-08-20 10:20:00+05:30,195.25,195.3,195.2,195.25,12365,0,0,,
2020-08-20 10:21:00+05:30,195.25,195.4,195.2,195.3,32117,0,0,,
2020-08-20 10:22:00+05:30,195.3,195.4,195.3,195.3,16884,0,0,,
2020-08-20 10:23:00+05:30,195.35,195.45,195.3,195.3,25447,0,0,,
2020-08-20 10:24:00+05:30,195.4,195.5,195.3,195.4,43571,0,0,,
2020-08-20 10:25:00+05:30,195.4,195.4,195.2,195.2,130125,0,0,,
2020-08-20 10:26:00+05:30,195.25,195.35,194.9,195.05,412895,0,0,,
2020-08-20 10:27:00+05:30,195.05,195.2,195,195.2,31582,0,0,,
2020-08-20 10:28:00+05:30,195.2,195.2,195.1,195.15,19409,0,0,,
2020-08-20 10:29:00+05:30,195.15,195.15,195.1,195.15,22756,0,0,,
2020-08-20 10:30:00+05:30,195.15,195.3,195.1,195.25,85349,0,0,,
2020-08-20 10:31:00+05:30,195.2,195.45,195.2,195.4,49935,0,0,,
2020-08-20 10:32:00+05:30,195.4,195.5,195.3,195.5,175525,0,0,,
2020-08-20 10:33:00+05:30,195.45,195.5,195.35,195.5,38957,0,0,,
2020-08-20 10:34:00+05:30,195.5,196.35,195.5,196.1,792019,0,0,,
2020-08-20 10:35:00+05:30,196.05,196.2,196.05,196.1,99573,0,0,,
2020-08-20 10:36:00+05:30,196.1,196.2,196.05,196.1,78773,0,0,,
2020-08-20 10:37:00+05:30,196.1,196.15,196.05,196.1,46034,0,0,,
2020-08-20 10:38:00+05:30,196.1,196.15,196.05,196.05,47578,0,0,,
2020-08-20 10:39:00+05:30,196.05,196.05,195.9,196,88041,0,0,,
2020-08-20 10:40:00+05:30,196,196.2,195.9,196.15,145849,0,0,,
2020-08-20 10:41:00+05:30,196.15,196.15,196.05,196.15,44891,0,0,,
2020-08-20 10:42:00+05:30,196.15,196.15,195.95,196,96562,0,0,,
2020-08-20 10:43:00+05:30,196,196,195.85,195.9,77684,0,0,,
